DR,Codigo_Unidade,Endereco_Cidade,nome,nome_cid,codigo_ibge
SP,57,PRESIDENTE PRUDENTE,Presidente Prudente,PRESIDENTE PRUDENTE,3541406.0
SP,58,RIBEIRÃO PRETO,Ribeirao Preto,RIBEIRAO PRETO,3543402.0
SP,59,SANTOS,Santos,SANTOS,3548500.0
SP,60,SÃO CARLOS,Sao Carlos,SAO CARLOS,3548906.0
SP,60,SÃO CARLOS,Sao Carlos,SAO CARLOS,4216008.0
SP,61,SÃO JOSÉ DO RIO PRETO,Sao Jose do Rio Preto,SAO JOSE DO RIO PRETO,3549805.0
SP,62,SOROCABA,Sorocaba,SOROCABA,3552205.0
SP,97,SÃO JOÃO DA BOA VISTA,Sao Joao da Boa Vista,SAO JOAO DA BOA VISTA,3549102.0
SP,107,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
SP,123,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
SP,131,TABOÃO DA SERRA,Taboao da Serra,TABOAO DA SERRA,3552809.0
SP,133,SÃO BERNARDO DO CAMPO,Sao Bernardo do Campo,SAO BERNARDO DO CAMPO,3548708.0
SP,135,BERTIOGA,Bertioga,BERTIOGA,3506359.0
SP,136,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
SP,137,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
SP,138,REGISTRO,Registro,REGISTRO,3542602.0
SP,140,BIRIGUI,Birigui,BIRIGUI,3506508.0
SP,141,PINDAMONHANGABA,Pindamonhangaba,PINDAMONHANGABA,3538006.0
SP,145,SALTO,Salto,SALTO,3545209.0
SP,147,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
RJ,502,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
CE,5711,FORTALEZA,Fortaleza,FORTALEZA,2304400.0
PI,1111,TERESINA,Teresina,TERESINA,2211001.0
PI,3500,CAMPO MAIOR,Campo Maior,CAMPO MAIOR,2202208.0
RJ,191,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,311,ANGRA DOS REIS,Angra dos Reis,ANGRA DOS REIS,3300100.0
RJ,432,BARRA MANSA,Barra Mansa,BARRA MANSA,3300407.0
RR,3708,SÃO JOÃO DA BALIZA,Sao Joao da Baliza,SAO JOAO DA BALIZA,1400506.0
SP,143,OURINHOS,Ourinhos,OURINHOS,3534708.0
RJ,431,BARRA DO PIRAI,Barra do Pirai,BARRA DO PIRAI,3300308.0
RJ,551,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
